Region,Freq,Bioregion,AsiaNative
andaman is.,5,Andamans,1
nicobar is.,1,Andamans,1
borneo,49,Borneo,1
brunei,56,Borneo,1
including kalimantan,1,Borneo,1
indonesia,1,Borneo,1
kalimantan,101,Borneo,1
labuan,3,Borneo,1
lombok,1,Borneo,1
malaysia,135,Borneo,1
sabah,182,Borneo,1
sarawak,133,Borneo,1
bangladesh,10,Indian_Subcontinent,1
bhutan,3,Indian_Subcontinent,1
india,121,Indian_Subcontinent,1
india orientaliã¢â‚¬â„¢,1,Indian_Subcontinent,1
laos,6,Indian_Subcontinent,1
nepal,2,Indian_Subcontinent,1
sri lanka,62,Indian_Subcontinent,1
cambodia,6,IndoChina,1
guangdong,1,IndoChina,1
hong kong,18,IndoChina,1
macao,1,IndoChina,1
myanmar,29,IndoChina,1
na thailand,1,IndoChina,1
taiwan,26,IndoChina,NA
thailand,39,IndoChina,1
vietman,1,IndoChina,1
vietnam,153,IndoChina,1
bali,1,Java,1
indonesia,1,Java,1
java,109,Java,1
madura is.,1,Java,1
indonesia,1,Lesser_Sundas,1
roma is.,1,Lesser_Sundas,1
solor and wetar is.,1,Lesser_Sundas,1
timor,2,Lesser_Sundas,1
malaysia,135,Malaya,1
peninsular malaysia,1,Malaya,1
singapore,46,Malaya,1
ambon,2,Maluku,1
ambon is,2,Maluku,1
ambon is.,5,Maluku,1
and buru is.,1,Maluku,1
aru is.,6,Maluku,1
bacan is.,4,Maluku,1
bacan island,1,Maluku,1
buru,1,Maluku,1
buru is.,10,Maluku,1
ceram,1,Maluku,1
gorong is. and kai is.,1,Maluku,1
halmahera,3,Maluku,1
indonesia,1,Maluku,1
kai is,1,Maluku,1
kai is.,6,Maluku,1
kayao is.,1,Maluku,1
kei is,1,Maluku,1
larat is.,1,Maluku,1
maluka is.,2,Maluku,1
maluku is.,7,Maluku,1
moluccas,1,Maluku,1
morotai is.,1,Maluku,1
obi is,1,Maluku,1
obi is.,9,Maluku,1
roon is.,2,Maluku,1
sanana is.,1,Maluku,1
seram,1,Maluku,1
seram is.,3,Maluku,1
buka is.,1,NA,NA
china,463,NA,NA
japan,18,NA,NA
unknown,24,NA,NA
admiralty is.,2,New_Guinea,1
biak is.,1,New_Guinea,1
bismarck archipelago,1,New_Guinea,1
bismarck archipelago: new britain,1,New_Guinea,1
indonesia,1,New_Guinea,1
new britain,7,New_Guinea,1
new guinea,30,New_Guinea,1
new hanover is.,1,New_Guinea,1
new ireland,1,New_Guinea,1
papua new guinea,116,New_Guinea,1
rossel is.,2,New_Guinea,1
sudest is.,1,New_Guinea,1
west papua,44,New_Guinea,1
woodlark is.,6,New_Guinea,1
philippines,186,Palawan,1
philippines,186,Philippines,1
sula is.,3,Philippines,1
indonesia,1,Sulawesi,1
peleng is.,11,Sulawesi,1
s. sulawesi,1,Sulawesi,1
sangihe is.,1,Sulawesi,1
sangihe is. & talaud is.,1,Sulawesi,1
sulawesi,74,Sulawesi,1
talaud is.,1,Sulawesi,1
talaud is. not sri lanka,1,Sulawesi,1
togian is.,1,Sulawesi,1
wallacea,1,Sulawesi,1
wangi-wangi is.,1,Sulawesi,1
indonesia,1,Sumatra,1
na sumatra,1,Sumatra,1
sumatra,186,Sumatra,1
sumatra not new guinea,1,Sumatra,1
