country,Bioregion,IncludesNonAsia,AsiaNative
anadaman islands,Andamans,0,1
india andaman islands,Andamans,0,1
india andaman lslands,Andamans,0,1
india great nicobar island,Andamans,0,1
india nicobar,Andamans,0,1
india nicobar islands,Andamans,0,1
india north andaman island,Andamans,0,1
india south andaman island,Andamans,0,1
nicobar islands,Andamans,0,1
thailand andaman and nicobar,Andamans,0,1
thailand nicobar islands,Andamans,0,1
bboorrnneeoo,Borneo,0,1
borneo,Borneo,0,1
borneo borneo,Borneo,0,1
borneo telang,Borneo,0,1
brunei,Borneo,0,1
brunei borneo,Borneo,0,1
indonesia,Borneo,0,1
indonesia borneo,Borneo,0,1
indonesia kalimantan,Borneo,0,1
indonesia kalimantan,Borneo,0,1
indonesia sabah,Borneo,0,1
malaysia,Borneo,0,1
malaysia banggi island,Borneo,0,1
malaysia borneo,Borneo,0,1
malaysia chiang mai,Borneo,0,1
malaysia o borneo,Borneo,0,1
malaysia sabah,Borneo,0,1
malaysia sabah],Borneo,0,1
malaysia sarawak,Borneo,0,1
malaysia sarawak],Borneo,0,1
"philippines,borneo",Borneo,0,1
sabah,Borneo,0,1
thailand borneo,Borneo,0,1
thailand borneo lombok,Borneo,0,1
assam,Indian_Subcontinent,0,1
bangladesh,Indian_Subcontinent,0,1
bhutan,Indian_Subcontinent,0,1
bihar,Indian_Subcontinent,0,1
himachal pradesh,Indian_Subcontinent,0,1
india,Indian_Subcontinent,0,1
india  rajasthan,Indian_Subcontinent,0,1
india andhra pradesh,Indian_Subcontinent,0,1
india arunachal pradesh,Indian_Subcontinent,0,1
india assam,Indian_Subcontinent,0,1
india bali,Indian_Subcontinent,0,1
india bihar,Indian_Subcontinent,0,1
india bombay,Indian_Subcontinent,0,1
india central,Indian_Subcontinent,0,1
india darjeeling,Indian_Subcontinent,0,1
india himachal pradesh,Indian_Subcontinent,0,1
india kameng,Indian_Subcontinent,0,1
india karnataka,Indian_Subcontinent,0,1
india kashmir,Indian_Subcontinent,0,1
india kerala,Indian_Subcontinent,0,1
india madhya pradesh,Indian_Subcontinent,0,1
india maharashtra,Indian_Subcontinent,0,1
india meghalaya,Indian_Subcontinent,0,1
india mus,Indian_Subcontinent,0,1
india mysore,Indian_Subcontinent,0,1
india north korea north korea,Indian_Subcontinent,0,1
india oriental,Indian_Subcontinent,0,1
india orissa,Indian_Subcontinent,0,1
india punjab,Indian_Subcontinent,0,1
india rajastan,Indian_Subcontinent,0,1
india rajasthan,Indian_Subcontinent,0,1
india rajshahi,Indian_Subcontinent,0,1
india romblon,Indian_Subcontinent,0,1
india sikkim,Indian_Subcontinent,0,1
india sikkim uttarakhand,Indian_Subcontinent,0,1
india sri lanka,Indian_Subcontinent,0,1
india tamil nadu,Indian_Subcontinent,0,1
